County,Location Number,Location,Address,Zip Code,Dates Available,Hours,Early Voting Location,Note,Latitude,Longitude
St. Johns,10,TBD,TBD,TBD,October 19th - October 31st,8:00 a.m. to 6:00 p.m.,Yes,New Early Voting location,0,0
St. Lucie,1,Orange Blossom Business Center/ Main SOE office,"4132 Okeechobee Road, Fort Pierce, FL",34947,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,There will be two drop boxes: one inside and one outside,27.42729,-80.369
St. Lucie,2,Zora Neale Hurston Library,"3008 Avenue D, Fort Pierce, FL",34947,October 19th - November 1st,8:00 a.m. to 6:00 p.m. from 10/19 to 10/31; 7:00 am to 3pm on 11/1,Yes,,27.4532,-80.3559
St. Lucie,3,Port St. Lucie Community Center,"2195 SE Airoso Blvd, Port St. Lucie, FL",34984,October 19th - November 1st,8:00 a.m. to 6:00 p.m. from 10/19 to 10/31; 7:00 am to 3pm on 11/1,Yes,,27.27525,-80.3412
St. Lucie,4,Port St. Lucie Civic Center,"9221 SE Civic Center Pl, Port St. Lucie, FL",34952,October 19th - November 1st,8:00 a.m. to 6:00 p.m. from 10/19 to 10/31; 7:00 am to 3pm on 11/1,Yes,,27.29733,-80.2986
St. Lucie,5,Paula A. Lewis Library,"2950 SW Rosser Blvd, Port St. Lucie, FL",34953,October 19th - November 1st,8:00 a.m. to 6:00 p.m. from 10/19 to 10/31; 7:00 am to 3pm on 11/1,Yes,,27.25632,-80.4002
St. Lucie,6,St. Lucie West South County Annex/ SOE Office ,"250 NW Country Club Dr., Port St. Lucie, FL",34986,From when VBM ballots are mailed out to Election Day at 7pm,24/7,No,There will be two drop boxes: one inside and one outside,27.31607,-80.3975
St. Lucie,7,Walton Rd County Admin Annex/SOE office,"1664 SE Walton Rd., Port St. Lucie, FL ",34952,From when VBM ballots are mailed out to Election Day at 7pm,24/7,No,There will be two drop boxes: one inside and one outside,27.29862,-80.2988
St. Lucie,8,Tax collectors office/SOE office,"10264 SW Village Pkwy, Port St. Lucie, FL",34987,From when VBM ballots are mailed out to Election Day at 7pm,24/7,No,There will be two drop boxes: one inside and one outside,27.27682,-80.4306
Sumter,1,"Laurel Manor Recreation Center,","1985 Laurel Manor Drive, The Villages, FL",32162,October 20th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,28.92666,-82.0024
Sumter,2,Allamanda Recreation Center,"1515 Saint Charles Place, The Villages, FL",32162,October 20th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,28.88525,-81.9892
Sumter,3,Rohan Recreation Center,"850 Kristine Way, The Villages, FL",34785,October 20th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,28.82442,-81.9715
Sumter,4,Tierra Del Sol Recreation Center,"808 San Marino Drive, The Villages, FL",32159,October 20th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,28.9347,-81.9713
Sumter,5,Villages Sumter County Service Center/SOE office,"7375 Powell Road, Wildwood, FL",34785,From when VBM ballots are mailed out to Election Day at 5pm,9:00 a.m. to 6:00 p.m. during early voting; 8:00am to 5:00 pm before and after early voting,Yes,Drop box is located inside,28.86288,-82.0184
Sumter,6,Bushnell Elections Annex/SOE office,"316 East Anderson Avenue, Bushnell, FL",33513,From when VBM ballots are mailed out to Election Day at 7pm,9:00 a.m. to 6:00 p.m. during early voting; 8:00am to 5:00 pm before and after early voting; 7:00am to 7:00pm on election night,Yes,Drop box is located inside,28.6636,-82.1065
Suwannee,1,Jo Kennon Public Library,"10655 Dowling Park Dr, Dowling Park, FL",32060,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,30.2561,-83.232
Suwannee,2,Judicail Annex,"218 Parshley St, Live Oak, FL",32064,October 24th - November 1st,8:30 am to 4:30 pm,Yes,,30.29411,-82.987
Suwannee,3,Robert Leonard Public Library,"703 NW Suwannee Ave, Branford, FL",32008,October 24th - November 1st,8:30 am to 4:30 pm,Yes,,29.9631,-82.931
Taylor,1,Supervisor of Elections Office,"433 U S 19 North, Perry, FL",32347,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,There will be two drop boxes: one inside and one outside ,30.12238,-83.5936
Union,1,Supervisor of Elections Office,"175 W. Main St., Lake Butler, FL",32054,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,30.0231,-82.3396
Volusia,1,Department of Elections Office,"1750 S. Woodland Boulevard, (Victoria Square), Deland, FL",32720,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,28.99718,-81.3045
Volusia,2,Deltona City Commission Chambers,"2345 Providence Boulevard, Deltona, FL",32725,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-thru available,28.92766,-81.2218
Volusia,3,Volusia County Library Center at City Island,"105 E. Magnolia Avenue, Daytona Beach, FL",32114,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-thru available,29.21231,-81.0174
Volusia,4,Port Orange Regional Library,"1005 City Center Circle, Port Orange, FL",32129,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-thru available,29.12545,-81.0207
Volusia,5,Ormond Beach Regional Library,"30 S. Beach Street, Ormond Beach, FL",32174,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-thru available,29.28463,-81.0555
Volusia,6,New Smyrna Beach Regional Library,"1001 S. Dixie Freeway, New Smyrna Beach, FL  ",32168,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-thru available,29.04012,-80.9334
Wakulla,1,Supervisor of Elections Office,"3115 B Crawfordville Hwy, Crawfordville, Fl",32327,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,30.17372,-84.375
Walton,1,Walton County Courthouse/SOE office,"571 US Hwy 90 E, Defuniak Springs FL",32433,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,30.72186,-86.1112
Walton,2,Freeport City Hall,"112 St Hwy 20 W, Freeport, FL",32439,October 24th - October 31st,8:30 a.m. to 4:30 p.m. on M-S; 1:00 p.m. to 9:00 p.m. on Sundays,Yes,,30.49921,-86.1377
Walton,3,Faith Assembly Church,"306 S Geronimo St, Miramar Beach, FL",32550,October 24th - October 31st,8:30 a.m. to 4:30 p.m. on M-S; 1:00 p.m. to 9:00 p.m. on Sundays,Yes,,30.379,-86.3605
Walton,4,Walton County Courthouse Annex/SOE Office,"31 Coastal Centre Blvd, Santa Rosa Beach, FL",32459,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,30.37463,-86.1803
Washington,1,Supervisor of Elections Office,"1331 South Blvd, #900, Chipley, FL",32428,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,30.77185,-85.5434
Washington,2,Vernon City Hall ,"2808 Yellow Jacket Dr, Vernon, FL",32462,October 19th - October 31st,24/7,Yes,Drop box is located outside,30.62519,-85.7145
